						Accept Condition							Refuse Condition							Soften Condition	Harden Condition
335	Suppression de la durée légale du travail	Liberals	En supprimant la durée légale du travail, les employeurs pourront donc moduler selon les besoins du marché le travail de leurs employés. Les mauvaises langues diront qu'une telle dérégulation est dangereuse pour les conditions salariales, mais qui oserait douter que les employeurs pourraient penser à mal ?	1		2	0	-7	10	-7	0	1500	-1	0	9	-7	-4	0	0	-1	-1
336	Suppression du code du travail	Liberals	Suppression de tous les articles du code du travail, sauf les mentions sur l'obligation de résultat des employés. Pour tout vote "Oui" : un bisou de Pierre Gataz.	2		3	0	-9	8	-7	0	1500	-1	-10	9	-7	-7	0	0	-1	-1
337	Interdiction des pauses	Liberals	Suppression des pauses lors de la journée de travail : pauses intermédiaires, pauses repas, absence d'attention, ... Certains syndicalistes revanchards risquent de se plaindre, mais leur absence de reconnaissance ne saurait égaler les bénéfices économiques d'une telle mesure.	3		4	0	-12	17	-7	0	3000	-1	-10	13	-7	-8	0	0	-1	-1
338	Autorisation de l’enfermement en cages des employés 	Liberals	Pour maximiser la productivité du pays, l'enfermement en cage des esclaves ... EMPLOYÉS ! est une solution idéale. Les ONG œuvrant pour les droits de l'Homme risquent de venir en aide au syndicalistes, mais qui s'en inquiète ?	4		-1	0	-15	15	-13	0	4500	-1	-10	13	-7	-11	0	0	-1	-1
339	Contrôle strict des allocations chômage	Liberals	Certains de nos concitoyens profitent du laxisme du système pour détourner les aides dédiées aux chômeurs et non aux profiteurs ! Il y a bien sûr des risques de mettre en difficultés d'honnêtes citoyens avec un tel dispositif, mais les gains pour le budget public sauront se faire sentir.	0		6	10	0	0	2	0	1500	-1	0	3	-7	3	0	0	-1	-1
340	Limitation de la durée des allocations chômage	Liberals	Un citoyen qui ne trouve pas d'emploi dans un pays si bien géré ne peut être autre chose qu'un profiteur ... Limitons donc les allocations chômages dans le temps pour pousser les profiteurs à rechercher un emploi ... ou tout au moins à diminuer les dépenses publics !	1		7	10	-4	0	6	0	4500	-1	0	6	-7	3	0	0	-1	-1
341	Suppression des allocations chômage	Liberals	Les chômeurs sont coupables de ne pas trouver d'emplois par eux-même : ils n'avaient pour commencer pas à perdre le leur ! Très impopulaire, une telle mesure devrait néanmoins diminuer le chômage et grandement baisser les chiffres du chômage.	2		8	13	-5	0	8	0	6000	-1	-10	9	-7	3	0	0	-1	-1
342	Impôt sur le chômage (taxe sur la non productivité)	Liberals	Malgré toutes nos mesures, certains osent encore rester dans l'oisiveté. Très impopulaire, une telle mesure devrait cependant être assez bonne pour les chiffres.	3		9	13	-9	6	6	0	6000	-1	-10	9	-7	3	0	0	-1	-1
343	Emploi imposé par l'Etat	Liberals	Certains emplois restent malgré tous nos efforts non pourvu ... Si les chômeurs ne veulent pas travailler quand on leur demande gentillement, alors c'est la police qui les amenera à l'usine !	4		-1	13	-15	3	11	0	7500	-1	-10	13	-7	3	0	0	-1	-1
344	Privatisation des entreprises d'État	Liberals	Pourquoi diable l'Etat devrait-il employer des fonctionnaires dans des entreprises déficitaires, alors que le libre marché pourrait nous soulager de cette peine, non sans nous avoir donné un pécule non négligeable. Plutôt impopulaire, une telle mesure devrait néanmoins offrir une respiration dans le budget de l'État.	0		11	10	-7	12	-7	0	9000	-1	0	3	-7	6	0	7500	-1	-1
345	Plan de réduction de 100 000 fonctionnaires	Liberals	Cela n'est jamais agréable, ni bon pour les chiffres du chômage, mais il semblerait que nous devions nous résoudre à nous séparer de 100 000 fonctionnaires. Nous devrions ainsi pouvoir réaliser des économies non négligeables dans les dépenses publiques.	1		12	10	-9	12	-7	0	9000	-1	-4	6	-7	6	0	7500	-1	-1
346	Privatisation de l'Éducation Nationale	Liberals	Depuis un siècle, l'Éducation Nationale forme la jeunesse de notre patrie ; néanmoins, son coût n'est aujourd'hui plus supportable. En transférant ses compétances aux écoles privées, nous réaliserions des économies indispensables.	2		13	13	-10	18	-13	0	12000	-1	-4	6	-7	6	0	7500	-1	-1
347	Privatisation de l'armée	Liberals	Nous devons nous y résoudre : l'armée française n'est plus que l'ombre d'elle même, car dépassée. En transférant ses compétences à des mercenaires, nous réduirons certainement notre force, mais nous pourrions conserver une petite force d'intervention en cas de besoins.	3		14	16	-15	25	-19	0	37500	-1	-4	13	-7	6	0	12000	-1	-1
348	Privatisation du gouvernement	Liberals	Le Gouvernement est aujourd'hui une source de dépenses importantes, en le privatisant, nous confronterions celui-ci à l'économie de marché et pourrions pourquoi pas espérer, que ses actionnaires touchent enfin des dividendes.	4		-1	28	-17	31	-25	0	50000	-1	-10	13	-7	6	0	15000	-1	-1
349	Diminution de la durée du travail à 30h	Socialist	Comme tout à chacun le sait : l'emploi disparaît. Si nous voulons que tout à chacun puisse y accéder, il nous faut diminuer de la durée du travail à 30h. Peu populaire auprès des patrons, cette mesure sera plutôt bien acceuillie par tous les autres.	0		16	-4	6	-7	10	0	0	-1	3	6	6	0	0	7500	-1	-1
350	Interdiction des licenciements pour les entreprises en bonne santé	Socialist	Il est innaceptable qu'une entreprise qui réalise des bénéfices puisse renvoyer ses salariés. Peu pénalisante pour l'économie, cette mesure sera plutôt bien acceuillie.	1		17	-4	6	-7	6	0	0	-1	3	-7	6	0	0	7500	-1	-1
351	Week-end de trois jours	Socialist	Malgré tous nos efforts, le chômage reste important : nous devons limiter d'avantage la semaine de travail en lui supprimant un jour, ce fameux lundi que personne n'a jamais aimé.	2		18	-4	12	-19	10	3	0	-1	3	-7	6	0	0	7500	-1	-1
352	Interdiction du travail nocturne	Socialist	Encore un fléau à éliminer !	3		19	-4	12	-19	6	0	0	-1	3	-7	6	0	0	7500	-1	-1
353	Interdiction des licenciements	Socialist	Pourquoi un employeur pourrait-il avoir la légitimité de renvoyer un de ses employés, alors que ceux-ci ne peuvent renvoyer leur patron ? C'est de se constat qu'est né ce projet de loi, qui devrait satisfaire le peuple à défaut d'augementer les embauches	4		-1	-14	18	-25	-13	0	0	-1	3	-14	6	0	0	7500	-1	-1
354	Reconnaissance de la pénibilité du travail (retraite anticipée pour les métiers à risque)	Socialist	Mise en place d'une retraite anticipée pour les métiers à risque (5 ans plus tôt que pour les autres). Une mesure humaine selon les humains, honteuse selon les employeurs.	0		-1	-10	6	-7	6	0	0	-1	3	0	6	6	0	7500	-1	-1
355	Retraite à 60 ans	Socialist	Nos jeunes ne trouvent plus d'emploi, libérons ceux de nos méritants ainés afin d'offrir à tous un moyen de subsister. Une mesure humaine selon les socialistes, honteuse selon les employeurs.	0		22	-10	12	-13	8	0	0	-1	3	-7	6	6	0	7500	-1	-1
356	Interdiction du travail des seniors	Socialist	Parce qu'il y a un âge où le travail devient trop dur, libérons nos ainés de cette charge. Une mesure humaine selon les communistes, honteuse selon les employeurs.	1		23	-14	18	-19	11	0	0	-1	3	0	6	6	6	7500	-1	-1
357	Interdiction des travaux pénibles	Socialist	À l'heure de la robotisation, pourquoi devrait-on encore laisser de telles tâches au hommes ?	2		24	-14	21	-25	15	0	0	-1	3	0	6	6	0	6000	-1	-1
358	Interdiction du travail	Socialist	Les robots n'ont qu'à le faire à notre place ...	3		-1	-17	31	-32	-25	0	0	-1	9	-7	6	6	0	15000	-1	-1
359	Revalorisation des allocations chômage	Socialist	À une heure où la pauvreté ne cesse de grandir dans notre pays, revaloriser les allocations chômages est une nécessité. Globalement négative pour les chiffres du chômage, cette mesure devrait au moins avoir un effet positif pour ceux à qui elle est destinée.	0		26	-10	12	-7	-13	0	0	-1	9	-7	6	6	0	7500	-1	-1
360	Revenu universel	Socialist	Utopie socialiste, le revenu universel est l'évolution logique des allocations chômages, permettant aux étudiants et aux originaux de s'en aller à leur besogne le ventre plein sans la distraction du confort.	1		27	-14	18	-13	-19	0	0	-1	0	-10	6	6	0	12000	-1	-1
361	Revenu universel revalorisé	Socialist	Dans un monde où l'emploi disparaît, laissons les emplois restant aux quelques fous assez motivés pour les occuper !	2		-1	-14	21	-13	-25	0	0	-1	3	-14	6	6	0	15000	-1	-1
362	Plan d'embauche de 100 000 fonctionnaires	Socialist	Les queues se multiplient dans les administrations, les classes sont en sureffectifs, ... Rien ne va plus ! Recrutons 100 000 fonctionnaires pour sauver la fonction publique ! Le privé n'aimera pas, mais tant pis pour lui !	0		29	-10	6	-7	6	0	0	-1	-4	-7	0	0	0	7500	-1	-1
363	Renationalisation des entreprises privatisées par les précédents gouvernements	Socialist	Les précédants gouvernements ont revendu de véritables fleurons nationnaux à des sociétés privées qui ont su les rendre rentables, investissont et rachetons-les !	1		30	-10	6	-13	8	0	0	-1	-10	-4	0	0	0	7500	-1	-1
364	Plan d'embauche de 1 000 000 fonctionnaires	Socialist	Un pays bien géré passe par une administration de premier plan : avec un 1 000 000 fonctionnaires supplémentaires, nous devrions enfin statistiquement pouvoir en trouver quelques uns qui travaillent !	2		-1	-14	12	-19	10	0	0	-1	-11	-10	0	0	0	7500	-1	-1
365	Nationalisation d'entreprises clés	Socialist	Certains secteurs clés de notre économies ne saurait être laissés sur le libre marché, en les nationalisant, nous nous assurerons qu'ils restent sous pavillon français.	2		30	-17	18	-25	12	0	0	-1	-22	-10	6	6	0	15000	-1	-1
366	Nationalisation du secteur privé	Socialist	Le marché libre est une abération qui doit être bouttée hors du sol français ... Les entrepreneurs n'aimerons pas, mais ils n'ont plus d'importance à nos yeux.	3		31	-29	18	-32	15	0	0	-1	-22	-10	13	6	0	30000	-1	-1
367	Droit de conscience sur le travail dominical et les jours de fêtes	Religious	Dans un pays laïque comme le notre, nous ne saurions imposer les fêtes catholiques. Néanmoins, il semble normal de permettre à ceux qui le souhaite de pouvoir exercer un droit de conscience sur le travail dominical et les jours de fêtes.	0		34	0	6	-7	2	15	7500	-1	9	-7	0	3	-7	1500	-1	-1
368	Interdiction du travail les jours de fêtes	Religious	Certains employeurs exercant des pressions sur les fidèles qui refusent de travailler les jours de fêtes, l'interdiction générale du travail les jours de fêtes devrait permettre d'y remédier	1		35	0	6	-7	-7	15	7500	-1	9	-4	0	3	-7	1500	-1	-1
369	Interdiction du travail dominical (sauf pour les métiers de première nécessité)	Religious	Certains employeurs exercant des pressions sur les fidèles qui refusent de travailler le dimanche, l'interdiction générale du travail dominical devrait suffire, exception faîte des métiers de première nécessité tels que ceux de la Santé.	1		36	0	12	-13	-7	25	7500	-1	9	0	0	3	-11	1500	-1	-1
370	Interdiction absolue du travail dominical	Religious	Le Seigneur se reposa le septième jour, comment pourrions-nous le demander à notre prochain. Nous n'aurons peut-être pas d'électricité ce jour là, mais le Seigneur sera avec nous !	2		37	0	12	-19	-7	25	7500	-1	9	0	0	3	-11	1500	-1	-1
371	Obligation de présence à la messe le dimanche	Religious	Certains infidèles osent ne pas venir à la messe le dimanche malgré l'interdiction du travail ce jour là, créons des milices citoyennes pour les y conduire !	2		-1	0	-19	0	-7	21	15000	-1	3	13	0	3	-11	1500	-1	-1
372	Adaptation des menus des restaurants d'entreprises lors du carême	Religious	Et puis admettons-le, c'est aussi un bon moyen de maigrir avant l'été ...	0		39	0	6	-7	0	15	1500	-1	-4	0	0	0	-7	4500	-1	-1
373	Prières obligatoires sur le lieu de travail	Religious	Bonne pour le morales des fidèles, celles-ci seront assez impopulaire pour les autres.	1		40	0	-13	-7	0	15	6000	-1	-4	6	0	-7	-11	4500	-1	-1
374	Présence d'un prêtre du travail obligatoire	Religious	Utile si jamais les employés ont besoins de se confesser sur leurs mauvais chiffres hebdomadaires, il pourra également venir pratiquer l'onction extrême si nécessaire.	2		41	0	6	-13	6	15	7500	-1	-4	6	6	-7	-11	4500	-1	-1
375	Baptême obligatoire pour embauche	Religious	Un bon chrétien saura être fidèle à son seigneur.	2		42	0	-13	-19	0	25	15000	-1	-4	26	0	-7	-18	4500	-1	-1
376	Bénédiction quotidienne de la production par le prêtre du travail	Religious	Garantie sans mauvais esprit.	2		-1	0	-13	-25	6	21	15000	-1	-4	19	0	0	-18	4500	-1	-1
377	Statut d'agent de l'Etat non-rémunéré pour les prêtres	Religious	Comme au bon vieux temps. Les croyant apprécieront, là où les impies resteront dans leur ignorance.	0		44	0	6	0	1	15	7500	-1	-10	-7	-7	0	-11	0	-1	-1
378	Statut de fonctionnaire rémunéré pour les prêtres	Religious	Un bon moyen de lutter contre le chômage tout en satisfaisant les fidèles, mais un scandale pour les autres	1		45	-10	6	0	6	15	7500	-1	-4	-7	-7	0	-11	0	-1	-1
379	Revalorisation salariale de la prêtrise (création d'un barème de rémunération)	Religious	Car notre prêtre ne doivent pas avoir à se soucier des basses nécessitudes de la vie, rémunérons les confortablement.	2		46	-10	6	0	2	15	15000	-1	-4	-7	-7	0	-11	0	-1	-1
380	Plan d'embauche de 100 000 prêtres	Religious	Un prêtre pour 500 habitants, c'est bien le minimum que nous puissions faire.	2		47	-10	6	0	8	25	37500	-1	-4	-7	-7	0	-18	0	-1	-1
381	Obligation pour les aînés de rentrer dans les ordres	Religious	Face au manque de vocation, provoquons le destin ... Ce que nous leur prenons, le Seigneur le leur rendra.	3			0	6	0	10	21	37500	-1	-4	-7	-7	0	-18	0	-1	-1
382	Campagne de recrutement pour l'Armée de Terre	Militarist	Grande campagne publicitaire, des milliers de postes à pourvoir, ... Cela devrait accroitre la force de frappe gouvernementale tout en abaissant le chômage. Le peuple n'aime pas la guerre, nous ne comprenons pas bien pourquoi ...	0		49	3	-7	0	0	0	4500	-1	-4	0	0	-7	-7	0	-1	-1
383	Renforcement des budgets militaires	Militarist	Il devrait relancer notre économie, créer des embauches, ... Comment le peuple ne peut-il pas voir que la guerre est une chance pour lui ?	1		51	3	-7	12	6	0	6000	-1	-10	6	-7	-7	-11	0	-1	-1
384	Mobilisation de 500 000 hommes	Militarist	Ils partiront 500 000, et reviendront probablement moins nombreux mais courronés de gloire ! Leurs parents nous détesterons, mais quelle opportunité pour abaisser le chômage !	2		52	13	-13	6	6	0	7500	-1	-10	13	6	-7	-11	0	-1	-1
385	Taxe sur l'Effort de Guerre	Militarist	Notre économies et nos citoyens doivent soutenir ceux qui défendent la France à travers le Monde, pour pallier à l'augmentation des dépenses miliaires, cette taxe est un impératif absolu !	1		50	16	-13	18	0	0	12000	-1	-10	13	6	0	-11	0	-1	-1
386	Loi Martiale permanente	Militarist	L'ennemi est partout autour de nous, voire infiltré parmis nous. Nos concitoyens sont en danger, c'est donc la mort dans l'âme que nous vous implorons de bien vouloir nous laisser mettre en oeuvre une loi martiale permanente ... Mais soyez assurés que notre détermination n'a jamais été plus grande.	3			28	-22	37	15	3	0	-1	-10	26	6	-14	-11	15000	-1	-1
387	Création d'une autorité de contrôle des discriminations à l'embauche	Liberals	Mise en place de contrôles aléatoire sur les entrerprises soupsonnées de discriminations à l'embauche. Globalement appréciée, les employeurs font valoir une augmentation du coût de recrutement au vu de l'examen drastique auquel ils sont contraints.	0		54	0	6	-7	6	0	1500	-1	3	0	0	-7	0	0	-1	-1
388	CV anonymisé obligatoire	Liberals	Les entrerprises de plus de 10 salariés vont devoir pratiquer à l'anonymisation des CV, pour éviter que l'origine des candidats ne les influencent dans leur choix. Globalement appréciée, les employeurs font valoir une augmentation du coût de recrutement.	1		55	0	6	-7	6	0	1500	-1	3	0	0	-7	0	0	-1	-1
389	Quotas d'employés issus de minorités	Liberals	Critiqués pour leur propention à récriminer la discrimination en la pratiquant, ils sont néanmoins utiles pour insérer massivement des minorités mise sur le côté. On ne connaît pas leurs effets à moyen terme.	2		56	0	12	-13	12	0	0	-1	3	6	0	-7	0	12000	-1	-1
390	Peines de prison pour discriminations à l'embauche	Liberals	Radical, l'emprisonnement des fautifs de dicrimination à l'embauche devrait grandement réduire le phénomène.	3			-4	18	-19	6	0	0	-1	0	13	0	-7	0	37500	-1	-1
391	Reconnaissance du Burn-out comme maladie professionnelle	Liberals	Un des fléau de ce siècle. Le peuple vous remerciera, les employeurs seront plus sceptiques.	0		58	0	6	-7	6	0	0	-1	0	-7	6	13	-7	6000	-1	-1
392	Taxe anti Burn-out	Liberals	On taxe bien le tabac, pourquoi pas les mauvais employeurs. Le peuple vous remerciera, les employeurs grogneront.	1		59	0	12	-13	10	0	0	-1	0	-7	6	13	-7	6000	-1	-1
393	Pénalisation du Burn-out pour l'employeur	Liberals	Reconnaitre le Burn-out comme un crime permettra de juger les employeurs coupables comme tel. Le peuple vous remerciera, les employeurs hurleront en privé de peur d'avoir un procès.	2		60	0	18	-19	3	0	0	-1	0	-11	6	13	0	12000	-1	-1
394	Peines de prison pour cadre de travail inhumain	Liberals	Tuer est un crime, le dirigeant d'Orange sont donc coupables. Le peuple vous remerciera, les employeurs grogneront mais derrière les barreaux pour certains.	3			0	21	-25	6	0	0	-1	0	-10	6	19	0	12000	-1	-1
395	Défiscalisation des heures supplémentaires	Liberals	Travailler plus pour gagner plus !	0		62	-4	12	6	-7	0	15000	-1	3	-3	-7	6	0	1500	-1	-1
396	Suppressions des charges patronales	Liberals	Avec moins de charges, les employeurs vont enfin pouvoir recruter (ou augmenter les dividendes).	1		63	-14	12	6	3	0	15000	-1	10	-11	-7	-14	0	1500	-1	-1
397	Suppression des minimums salariaux	Liberals	Une contrainte de moins pour un pays plus compétitif. Le peuple vous détestera, mais vous lui aurez rendu service.	1		64	0	-19	12	6	0	37500	-1	0	19	-8	-20	0	1500	-1	-1
398	Légalisation des stages gratuits	Liberals	Car apprendre est la plus grande des récompenses.	2		65	0	-19	18	6	-4	60000	-1	0	19	-16	-27	0	1500	-1	-1
399	Légalisation du travail gratuit	Liberals	Pour enfin être plus compétitif que le Bengladesh !	3			0	-22	31	0	-4	50000	-1	0	26	-23	-34	0	1500	-1	-1
400	Réduction de l'imposition sur le bénéfice	Liberals	Car nous ne saurions voler le pain à la bouche des actionnaires.	0		67	-4	0	6	0	0	15000	-1	3	-6	0	-7	0	0	-1	-1
401	Suppression de l'impôt sur les sociétés	Liberals	Pas la peine de les imposer, elles ont déjà financé notre campagne.	1		68	-10	0	12	0	0	15000	-1	9	-7	0	-7	0	0	-1	-1
402	Suppression de la TVA	Liberals	Elle devrait faire du bien à tout le monde, mais pas à nos revenus.	2		69	-17	18	25	0	0	22500	-1	21	-20	0	-7	0	0	-1	-1
403	Suppression de la notion d'Impôts	Liberals	Position difficilement tenable, nous devrions néanmoins survivre en nous en tenant aux fonctions régaliennes.	3			-42	18	-44	0	0	60000	-1	21	-23	0	-7	0	0	-1	-1
404	TVA augmentée sur les produits de luxe	Socialist	De toute façon on se les fait offrir les costumes ...	0		71	3	-7	-7	0	0	3000	-1	3	-10	6	0	0	15000	-1	-1
405	Augmentation de l'impôt sur la fortune	Socialist	Les vrais ne le paient pas de toute façon ...	1		72	10	-13	-7	0	0	0	-1	10	-7	6	0	0	30000	-1	-1
406	Augmentation de l'impôt successoral (jusqu'à 80 % par paliers)	Socialist	Augmentation de l'impôt successoral jusqu'à 80 % par paliers de revenus. Assez impopulaire, vous pourrez cependant pouvoir y échapper en diversifiant aux Îles Caïman ...	2		73	13	-19	0	0	0	0	-1	10	-8	6	0	0	45000	-1	-1
407	Limitation du capital privé	Socialist	Plafonnement de la fortune individuelle à 500 000 (pensez vite à faire sortir l'argent du pays si ce n'est pas déjà fait)	3		74	16	-22	-19	0	0	0	-1	10	-10	9	6	0	50000	-1	-1
408	Interdiction de la propriété privée	Socialist	Sauf pour les sages du conseil, cela va de soit.	4			21	-38	-32	0	0	0	-1	10	26	9	6	0	100000	-1	-1
409	Participation obligatoire des employés dans leur entreprise (actions)	Socialist	Obtention systématique et obligatoire d'action de la société à ses employés, quelle que soit sa taille.	0		75	0	12	6	0	0	0	-1	9	-6	3	6	0	4500	-1	-1
410	Actions à prix réduits pour les employés	Socialist	Tous les ans, dans le cadre de la distribution d'actions, les employés devront pouvoir obtenir quelques actions à moitié prix. Les patrons vont détester.	1		76	0	18	-7	0	0	0	-1	9	-7	10	6	0	4500	-1	-1
411	Collectivisation des moyens de productions pour les employés	Socialist	L'Internationnale sera le genre humain.	2		77	10	21	18	12	0	0	-1	10	-8	10	0	0	4500	-1	-1
412	Nationalisation des moyens de productions	Socialist	Prochaine étape : la dékoulakisation !	3		78	28	-13	31	6	0	0	-1	10	-10	10	26	0	50000	-1	-1
413	Taxation des importations issue d'un commerce non-équitable	Socialist	Car la France doit éclairer le monde de ses Lumières. Une mesure protectionniste efficace dont l'effet sera une hausse des prix.	0		80	10	-13	18	6	3	1500	-1	-11	26	13	6	0	9000	-1	-1
414	Interdiction des importations issue d'un commerce non-équitable	Socialist	Parce que finalement, c'est trop compliqué à gérer. Une mesure protectionniste efficace dont l'effet sera une forte hausse des prix, voire la disparition de certains produits.	1			-10	-19	31	17	3	1500	-1	-11	39	13	0	0	12000	-1	-1
415	Taxation des importations étrangères	Militarist	Aliexpress va devenir plus cher ... ou pas.	0			10	12	12	6	0	1500	-1	-10	-14	-14	-7	0	6000	-1	-1
416	Préférence nationale pour les marchés publics	Militarist	Une mesure protectionniste bonne pour le marché nationnale, mais qui augmente nos dépenses.	0		83	0	12	12	11	0	3000	-1	0	-14	-14	-14	0	6000	-1	-1
417	Limitations des importations	Militarist	Ca commence à devenir chaud d'acheter chinois	1		84	-4	12	12	15	0	3000	-1	-11	-14	-14	-20	0	6000	-1	-1
418	Interdiction des importations	Militarist	De toute façon, les téléphones Samsung n'arrêtent pas d'exploser ... ça ne serait jamais arrivé avec un Alcatel !	2			-4	-22	25	17	0	0	-1	-11	26	-27	-27	0	6000	-1	-1
419	Subventions aux énergies renouvelables	Ecologist	Investissement d'avenir, générateur d'emploi, ... Mais pas gratuit pour l'État !	0		86	-4	6	12	6	0	0	-1	3	-20	6	9	6	7500	-1	-1
420	Taxe aux énergies fossiles	Ecologist	Rémunérateur pour nous, mais tout le monde va détester !	1		87	3	-7	-7	-7	0	0	-1	9	-20	11	9	6	9000	-1	-1
421	Taxe carbone	Ecologist	Rémunérateur pour nous, mais tout le monde va détester !	2		88	10	-13	-13	-7	0	0	-1	10	-27	7	9	6	6000	-1	-1
422	Sortie du Nucléaire	Ecologist	Couteux, mais terreau propice à l'emploi.	3		89	-10	12	0	5	0	0	-1	10	-27	22	10	6	6000	-1	-1
423	Tout renouvelable	Ecologist	Une formidable opportunitée pour l'emploi.	4			-10	21	0	6	0	0	-1	10	-27	22	10	6	80000	-1	-1
424	Classe bilingues	Liberals	Vues comme élitistes par certains, les libéraux y voient une nécessité.	0		91	-4	6	6	0	3	1500	-1	9	-14	6	-7	0	0	-1	-1
425	Classe de 6ème option Médecine Nucléaire	Liberals	L'élite de demain se prépare aujourd'hui (même s'il y a un risque pour l'égalité des chances)	1		92	-4	12	6	0	3	15000	-1	9	0	6	-7	0	0	-1	-1
426	Subvention des lycées privés	Liberals	Nos enfants méritent ce qu'il y a de meilleur, les votres devront se contenter du reste.	1		93	-10	6	6	-7	3	37500	-1	9	-7	6	6	0	0	-1	-1
427	Privatisation de l'enseignement secondaire	Liberals	Les libéraux applaudiront, le peuple voudra notre peau à moins tant qu'il ne sera pas encore ignorant	2		94	13	-13	18	-13	3	60000	-1	10	-14	13	6	0	0	-1	-1
428	Privatisation de l'enseignement supérieur	Liberals	Pour des chercheurs qui trouvent enfin !	3			28	-22	25	-15	3	50000	-1	10	-27	17	6	0	0	-1	-1
429	Enseignement du créationnisme	Religious	Nos enfants ne peuvent ignorer les deux théories principales sur la question si nous voulons qu'ils puissent choisir. Le peuple appréciera peu globalement, les religieux seront ravis	0		96	0	-13	0	0	10	37500	-1	3	6	0	0	-16	0	-1	-1
430	Interdiction de l'enseignement de la théorie de l'évolution	Religious	Car il y avait des dinosaures au jardin d'Eden.	1			0	-19	0	0	15	6000	-1	3	6	0	0	-20	0	-1	-1
431	Prière scolaire obligatoire	Religious	Les jeunes aimeront, ça fait perdre quelques minutes de cours.	0		98	0	-22	0	0	25	6000	-1	3	6	0	0	-47	0	-1	-1
432	Enseignement par les moines	Religious	Ils ont su si bien le faire pendant des siècles, laissons-leur cette charge.	1			0	-32	0	0	21	50000	-1	3	19	0	0	-47	0	-1	-1
433	Enseignement optionnel du Latin	Religious	Car la France est un pays de culture latine. Les opposants à cette mesure feront valoir son élitisme, les catholiques apprécieront de pouvoir comprendre trois mots à la messe en latin.	0		100	-4	12	0	0	3	6000	-1	-4	-7	0	6	-7	12000	-1	-1
434	Enseignement obligatoire du Latin	Religious	Cette fois-ci, l'égalité des chances est parfaite, mais le problème est peut-être ailleurs.	1		101	-4	-7	0	0	10	6000	-1	3	6	0	6	-7	15000	-1	-1
435	Etudes bibliques en latin obligatoire	Religious	Sans considérer la question religieuse, cet ouvrage fondateur de la civilisation occidentale saura délivrer une connaissance à ceux qui sauront lire entre les lignes. Les autres seront parfaitement blasés ou enthousiastes selon leur foi.	2			-4	-12	0	0	15	6000	-1	3	6	0	6	-18	12000	-1	-1
436	Messe en latin obligatoire à l'école	Religious	Si possible à la place du Sport.	2		103	-4	-19	0	0	25	6000	-1	3	6	0	0	-18	6000	-1	-1
437	Confessions en latin obligatoires avant les cours	Religious	Un temps de receuillement indispensable au bien être de nos chères têtes blondes.	3			-4	-24	0	0	21	12000	-1	3	13	0	0	-16	9000	-1	-1
438	Service civique obligatoire	Militarist	Un juste retour sur notre investissement dans la jeunesse, de plus les jeunes en service civique ne sont pas comptés dans les chiffres du chômage.	0		105	10	-10	-7	0	0	7500	-1	-4	6	6	0	6	0	-1	-1
439	Service militaire obligatoire (6 mois)	Militarist	Idéal pour apprendre les vrais valeurs à la jeunesse, certains risquent de ne pas apprécier	1		106	10	-10	-7	0	0	7500	-1	-10	13	6	0	6	0	-1	-1
440	Service militaire obligatoire (2 ans)	Militarist	Le devoir de tout citoyen.	2		107	13	-15	-7	0	0	15000	-1	-10	13	6	0	6	0	-1	-1
441	Conscription volontaire	Militarist	Enrollement volontaire de tout citoyen de bonne volonté	2		108	16	-19	-7	0	0	15000	-1	-10	26	13	6	6	0	-1	-1
442	Conscription forcée	Militarist	Enrollement forcé de tout citoyen, pour la vie, car nous sommes tous éternellement redevables à la nation.	3			28	-24	-7	0	3	45000	-1	-10	39	13	6	6	0	-1	-1
443	Revalorisation du montant des bourses universitaires	Socialist	Augmente l'égalité des chances, mais pèse sur nos dépenses.	0		110	-14	18	12	10	0	1500	-1	10	-20	-14	-14	-14	7500	-1	-1
444	Gratuité de l'Enseignement Supérieur pour tous	Socialist	Supprime l'inégalité des chances, mais pèse lourdement sur nos dépenses.	1			-29	31	18	6	0	1500	-1	21	-34	-20	-27	-16	12000	-1	-1
445	Enseignement du tri sélectif	Ecologist	Sensibilisation de la jeunesse au dévelopement durable, dans l'espoir qu'ils éduquent leurs parents. Bon pour le marché du recyclage.	0		112	-10	12	12	6	0	1500	-1	9	-14	-14	-7	0	15000	-1	-1
446	Bourses d'études pour les énergies renouvelables	Ecologist	Bon pour tout le monde, sauf les dépenses publiques.	1			-17	21	31	7	0	3000	-1	21	-27	-34	-20	0	15000	-1	-1
447	Revalorisation des aides à la création d'entreprise	Liberals	Permet à l'économie de se développer au dépend des dépenses publiques.	0		114	-10	-3	12	6	0	3000	-1	9	-7	-14	-7	0	15000	-1	-1
448	Défiscalisation des jeunes entreprises	Liberals	Permet à l'économie de se développer fortement au dépend de lourdes dépenses publiques.	1		115	-14	-3	18	6	0	3000	-1	10	-7	-20	-7	0	15000	-1	-1
449	Financement systématique des jeunes entreprises	Liberals	Permet un boom économique au prix de très lourdes dépenses publiques.	2		116	-17	-3	25	10	0	3000	-1	21	-7	-27	-14	0	30000	-1	-1
450	Subvention à l'envie de créer une entreprise	Liberals	Un plan de relance à lui seul au prix de dépenses publiques démentielles.	3		-1	-29	6	31	10	0	4500	-1	21	-7	-34	-14	0	15000	-1	-1
451	Suppression de la Sécurité Sociale	Liberals	Suppression des cotisations publiques de la sécurité sociale par un système de mutuelles.	0		-1	21	-22	25	-13	0	50000	-1	-40	39	-27	13	17	0	-1	-1
